conversation,class
지금 너 스스로 을 죽여 달 라고 간청 하 는 것 허가 ? 아닙니다 . 의아 합니다 . 죽 를 거 면 혼자 사망 지 우리 까지 스캔들 에 휘말리 게 해의 ? 진짜 죽여 삼키 고 싶 게 는데 정말 잘못 했 네요 . 너 가 설정 해 . 너 놀드 죽 을래 네 친지 을 죽여 줄까 는데 죄송 합니다 . 정말로 잘못 했 습니다 는데 너 에게 는 설정 권 이 없 어서 . 선택 못 한다면 너 와 네 친지 까지 모조리 죽여 버릴 거 야 . 설정 못 하 겠 네요 . 한 번 만이 도와 주 세요 는데 그냥 다 죽여 버려야 겠 군 . 그러 의 없 지 ... 제발 도와 주 ㅂ시오 .,협박 대화
길동 경찰서 입니다 는데 9 시 40 오전 마트 에 폭발물 를 설치 할 거 으며 . 네 ? 비스듬히 들 어 한 번의 만 더 얘기 소리치 . 장난 전화 쉐 지 마시 죠 는데 9 시 40 오전 마트 에 폭발물 그러 터지 면 다 사망 는 거 야 는데 장난 전화 는 직무 방해죄 에 해당 됩니다 . 판단 은 에드 에게 달려 있 으며 . 길동 경찰서 이에 도 폭발물 터지 ㄴ다면 꽤 나 재미있 싶 지 . 선생 귀하 진정 하 세요 는데 난 이야기 했 어서 . 경고 했 다고 말 이 야 는데,협박 대화
너 되게 귀여운 것 알 지 ? 나의 보다 작 은 여자 는 첨 봤 어서 . 그만 해 는데 니 들 놀리 ㄴ다는 거 재미없 어 는데 지영 아 너 놀드 키 160 이 꼼짝 ? 그럼 재 ㄴ다는 160 도 안 돼 는 거 네 ... 너 군대 도 못가 가 고 좋 싶 다 . 니 부유층 이 나 작 은데 데 보태 준 것 있 냐 ? 강아지 들 도 장가가 기에 하 던데 . 에드 도 희망 을 가져 봐 더 이상 시키 지 마 라 는데 그 키 크 ㄴ다는 수술 도 있 대잖아 ? 니 네 아빠 는 그거 안 해의 주 디 ? 나람 해 줬 어 는데 저 키 로 무슨 살 아 . 그럼 그만 괴롭히 라고 캐치,기타 괴롭힘 대화
어 이 거기 예시 ? ? 너 말로 이 야 너 는데 이리 오 라고 어찌 일 . 너 속옷 좋 아 보인다 ... 얘 돈 좀 없 나 봐 아니 ㄴ가요 . 돈 없 는데요 뒤져서 나오 면 플리트 죽 는다 오늘 피시방 콜 ? 콜 는데 마지막 기회 다 는데 있 는 거 으며 내놔 정말 없 는데요,갈취 대화
저기 요 혹시 첫날 이 너무 뜨겁 에요 ? 저희 회사 오세아니아 이 선크림 파 으며 한 번 손등 이에 발라 보 실래요 ... 아 진짜 요 ... 안 그래도 선크림 불필요 해서 알아보 던 중의 인데 한 번 발라 볼게요 ! 여기 한두 번 발라 보 ㅂ시오 . 진짜 성분 때문 좋 고 다 괜찮 아요 . 음 는데 성분 이 좋 으리라 하 셔서 좋 은데 거 같 기 ㄴ다는 한데 제 피부 이에 맞 지 않 나의 봐요 . 피부 놀드 따끔 거리 네요 는데 이번 에 진짜 잘하 연구 해서 만든 건데 피부 가 많이 침착 하 신가 봐요 는데 네 많이 예민 해요 . 그럼 많이 파가 시 고 안녕히 계세요 . 아니 저기요 현상금 안내 요 ? 카나 ? 발라보 는 방법 도 돈 내 야가 하 나요 ? 도대체 이거 누구 한테 나르 아요 ? 당신 그러 바른 거 를 ... 아니 먼저 발라 살펴보 시 라고 하 셨잖아요 . 먼저 권유 해의 놓 고 사 이라고 강매 하 는 것 갈취 인 거 몰라요 ? 내 가 못가 사 도 된다고 말로 한 적 있 어서 ? 그것 도 몰르 고 바른 걸 어디 탓 하나 ? 천천히 사 당신 이 범절 거 당신 이 타 야지 진짜 어 그러 가 없 어서 다르 사람 들 한텐 그렇게 갈취 하 지 마세요 . 화딱지 나 카나,갈취 대화
나 이틀 뒤 이에 가 나다 음식점 환불 좀 해 줘 는데 저녁 7 시 로서 . 가나다 음식점 그러 요 . ? 이서 . 남자 친구 자녀 님 한테 인사 티코 려는데 거기 가 환불 이 좀 힘들 어서 ? 그러니까 수진 정씨 가 좀 해 줘 . 저 . 본부장 님 . 저 때문 월 말 프로젝트 로서 정신없 어서 . 의아 하 지만 . 사회적 생활 안 해 합본 티 를 너무 내고 는 거 아니 야가 ? 프로젝트 만 백날 잘 하 면 ... 해 ? 윗 중개인 한테 잘 보이 적기 도 해야지 ! 그러나 팀 프로젝트 라서 저번 엔 . 말 잊 이상 하 게 시키 네 ? 이번 랴쿠 ? 내 가 ... 매일 같이 이런 목욕 이나 시킨다는 거 야가 ? 뭐 야 ... ! 아닙니다 . 저 가 말 실수 했 습니다 . 말씀 시키 신 예약 꼭 해의 두 겠 습니다 는데 이러 면 하 기에 도 욕먹 는 것 야 ! 한 번의 에 네네 알 싶 습니다 하 면 조금 좋 아 ? 캐치 죄송 합니다 . 울 겠 습니다 .,직장 내 괴롭힘 대화
35 번 손님 아이스커피 두 잔 나왔 네요 아이스커피 ? 네 씹 게 드세요 저기요 엄마 나 는 아 스가 시킨 적 이 없었 는데 ? 아 확실 오늘 날 이 더우 시 다고 아이스 로서 시키 셨 는데요 내고 가 그 랫 어서 ? 네 분명히 는데 아 그런 기억 그러 없 는데 ? 엄마 가 잘못 안 것 아니 야 ? 아니요 . 오늘 손 귀하 이 첫 주문 그러 라 확실히 기억 시키 고 있 습니다 엄마 . 왜 이렇게 고우 도리 가 없이 스미 어 그냥 아 저 가 잘못 주문 넘겨받 았 습니다 하 ㄴ다면 되 지 ? 는데 네 ? . 어휴 유 도리 없 어서 그냥 마실 게,기타 괴롭힘 대화
경비 아저씨 내차 이에 경고장 붙였 어요 ... 내 가 여기 수십 년 째 사 으며 아직 도 내차 인은 줄 모르 고 이딴 식 으로 경고장 를 붙여 ? 입주민 그분 정해진 주차 자리 놀드 아닌 통로 에 지속 주차 하 셔서 입주민 들 항의 가 지속 들어옵니다 . 내 놀드 항상 대 는 여기저기 자리 가 없 더군요 그렇 지 . 내고 차 이거 어떻게 때때 거 요 ? 며칠 짜린 줄 알 아서 ? 수차례 인터폰 때문 드렸 고 경고장 를 올렸으나 몇일 째 더듬 인지 라 아파트 헌장 에 맞춰 어쩔 가능성 없 었 습니다 이렇 다고 본드 로 새기 면 어떻게 ? 혹시 이거 깨끗히 원상 복원 시키 고 세차 해와 그럴 수 는 없었 습니다 . 내 놀드 낸 관리비 로 급료 받 는 주제 이에 뭐 라는 거 야가 ? 안 붙 혔 으면 되 잖아 는데 나 지금 거기 예능 ! 말씀 이 확실성 신 거 아닙니까 ... 딱 기다려요 이름 ... 죠 ? 나 현재 가 면 당신 그때 끝 이 야,기타 괴롭힘 대화
이거 할인 된다면서요 입증 해 보 겠 네요 아까 저 시 뇌샤텔 은 할인 해 주기도 던데 네 저 손등 님 은 고객 귀하 이 십니다 고객 를 차별 하 는 것 에요 ? 저희 ㄴ다는 등급제 로 운영 돼서 그런 겁니다 점장 가져오 세요 손 님 우중문 점장 님 도 해소 해 주 시 꼼짝 못합니다 그니까 점장 불러와 진정 을 좀 해의 보 세요,기타 괴롭힘 대화
자네 세금 계산서 보내주 준 거 메일 아줌마 수치 가 다르 습니다만 ? 그게 . ㄹ수록 해 먹 었 어서 ? 괜찮 아 는데 다른 업체 들 때문 다 그래 . 주식회사 에 는 비밀 로서 해 주 십시오 는데 그래그래 . 근데 성 는 표시 해야지 ... 어느 정도 . 판단 하 시 죠 ... 10 장 . 카나 가 많이 도 해의 먹 었 는데 그녀 정도 는 되 싶 지 ? 그건 워낙 많 습니다 . 도대체 김 사장 한테 스스로 말 하 는 가능성 밖에 없 지 는데 그리고 이 건 은데 국세청 에 도 매달리 는 거 알 꼼짝 ? 좀 더 보증금 을 주 십시오 는데,갈취 대화
